               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080582,            0.037881,            0.025947,             0.68453,             0.18431,             0.11096,            0.035701,            0.057412,            0.026535,            0.012281,             0.07007,           0.0033256,           0.0033256
                   1,            0.067062,            0.031835,            0.013151,             0.61369,             0.27073,             0.21518,             0.07733,            0.054409,            0.024595,           0.0078382,             0.04005,           0.0066389,           0.0066389
                   2,            0.063899,             0.03107,            0.010635,             0.54316,              0.2575,             0.19808,            0.072824,            0.056937,            0.025719,           0.0079059,             0.01001,           0.0099323,           0.0099323
                   3,            0.061957,            0.031827,           0.0099081,             0.50591,             0.14881,             0.13924,            0.052039,             0.05653,            0.033077,            0.010454,             0.00991,             0.00991,             0.00991
                   4,            0.059129,            0.031221,           0.0089402,             0.47196,             0.36633,             0.26282,             0.10396,            0.049864,            0.024952,           0.0052834,             0.00991,             0.00991,             0.00991
                   5,            0.057869,            0.030727,           0.0083583,             0.52232,             0.32348,             0.28923,             0.11251,            0.050061,            0.024529,           0.0049534,             0.00988,             0.00988,             0.00988
                   6,            0.056662,             0.03147,           0.0077355,              0.5648,              0.3288,             0.32739,             0.12998,            0.048146,            0.024973,           0.0050234,             0.00985,             0.00985,             0.00985
                   7,            0.055889,            0.030609,           0.0073641,             0.60144,              0.3041,             0.28418,             0.11273,            0.049603,              0.0255,           0.0054882,             0.00982,             0.00982,             0.00982
                   8,            0.055437,            0.030482,           0.0072761,             0.54907,             0.41995,             0.35805,             0.13804,            0.048504,             0.02441,           0.0046133,             0.00979,             0.00979,             0.00979
                   9,            0.054709,            0.030049,           0.0068616,             0.54183,             0.34685,             0.34171,             0.13162,            0.047805,            0.024504,            0.004535,             0.00976,             0.00976,             0.00976
                  10,            0.054344,            0.029633,           0.0067391,             0.44442,             0.38064,             0.34201,             0.13658,            0.047749,            0.023746,           0.0040954,             0.00973,             0.00973,             0.00973
                  11,            0.053883,            0.029693,           0.0064197,               0.377,              0.4618,             0.38273,             0.15742,            0.047483,             0.02406,           0.0040627,              0.0097,              0.0097,              0.0097
